Ticker        spread  f_fair  f_Fee   f_05    f_Fee_05 f_10    next_div  

ABIO/IS-9.25  98.100  98.086  97.849  97.596  97.360  97.105  -         
AFKS/AK-9.25  98.175  98.086  97.959  97.596  97.470  97.105  -         
AFLT/AF-9.25  98.183  98.086  98.026  97.596  97.535  97.105  -         
ALRS/AL-9.25  98.111  98.086  97.997  97.596  97.507  97.105  -         
ASTR/AS-9.25  98.147  98.086  97.924  97.596  97.435  97.105  -         
BANE/BN-9.25  98.249  98.086  97.804  97.596  97.315  97.105  -         
BSPB/BS-9.25  98.120  98.086  97.940  97.596  97.450  97.105  -         
CBOM/CM-9.25  97.857  98.086  97.879  97.596  97.390  97.105  -         
CHMF/CH-9.25  98.097  98.086  97.971  97.596  97.481  97.105  -         
FEES/FS-9.25  98.248  98.086  97.921  97.596  97.432  97.105  -         
FESH/FE-9.25  98.142  98.086  97.911  97.596  97.421  97.105  -         
FLOT/FL-9.25  98.136  98.086  98.014  97.596  97.524  97.105  -         
GAZP/GZ-9.25  98.192  98.086  98.033  97.596  97.543  97.105  -         
GLDRUBF/GL-9.25 98.491  98.140  98.076  97.649  97.586  97.158  -         
GMKN/GK-9.25  98.336  98.086  97.958  97.596  97.469  97.105  -         
HYDR/HY-9.25  98.089  98.086  97.911  97.596  97.421  97.105  -         
IRAO/IR-9.25  98.226  98.086  97.935  97.596  97.446  97.105  -         
KMAZ/KM-9.25  97.840  98.086  97.894  97.596  97.405  97.105  -         
LEAS/LE-9.25  98.208  98.086  97.780  97.596  97.291  97.105  -         
LKOH/LK-9.25  98.232  98.086  98.019  97.596  97.529  97.105  -         
MAGN/MG-9.25  98.231  98.086  97.990  97.596  97.501  97.105  -         
MGNT/MN-9.25  98.291  98.086  97.989  97.596  97.499  97.105  -         
MOEX/ME-9.25  98.166  98.086  98.011  97.596  97.521  97.105  -         
MTLR/MC-9.25  98.413  98.086  97.973  97.596  97.483  97.105  -         
MTSS/MT-9.25  98.277  98.086  97.958  97.596  97.468  97.105  -         
MVID/MV-9.25  98.274  98.086  97.772  97.596  97.283  97.105  -         
NLMK/NM-9.25  98.265  98.086  98.036  97.596  97.545  97.105  -         
NVTK/NK-9.25  98.164  98.086  98.012  97.596  97.522  97.105  -         
PHOR/PH-9.25  98.453  98.086  97.978  97.596  97.488  97.105  2025-10-01
PIKK/PI-9.25  98.256  98.086  97.986  97.596  97.496  97.105  -         
PLZL/PZ-9.25  98.241  98.086  97.931  97.596  97.441  97.105  -         
POSI/PS-9.25  98.343  98.086  97.936  97.596  97.446  97.105  -         
RASP/RA-9.25  98.654  98.086  97.918  97.596  97.429  97.105  -         
RNFT/RU-9.25  97.967  98.086  97.917  97.596  97.428  97.105  -         
ROSN/RN-9.25  98.222  98.086  97.997  97.596  97.508  97.105  -         
RTKM/RT-9.25  98.440  98.086  97.998  97.596  97.508  97.105  -         
RUAL/RL-9.25  98.367  98.086  97.958  97.596  97.469  97.105  -         
SBER/SR-9.25  98.137  98.086  98.044  97.596  97.554  97.105  -         
SBERP/SP-9.25 98.327  98.086  98.027  97.596  97.537  97.105  -         
SFIN/SH-9.25  98.884  98.086  97.861  97.596  97.371  97.105  -         
SGZH/SZ-9.25  98.605  98.086  97.868  97.596  97.379  97.105  -         
SIBN/SO-9.25  98.357  98.086  97.945  97.596  97.456  97.105  -         
SMLT/SS-9.25  98.240  98.086  97.928  97.596  97.439  97.105  -         
SNGS/SN-9.25  98.269  98.086  97.948  97.596  97.458  97.105  -         
SNGSP/SG-9.25 98.098  98.086  98.030  97.596  97.540  97.105  -         
SOFL/S0-9.25  98.296  98.086  97.944  97.596  97.455  97.105  -         
SPBE/SE-9.25  98.838  98.086  97.980  97.596  97.490  97.105  -         
SVCB/SC-9.25  98.020  98.086  97.973  97.596  97.483  97.105  -         
TATN/TT-9.25  98.120  98.086  97.984  97.596  97.494  97.105  -         
TATNP/TP-9.25 98.247  98.086  98.012  97.596  97.522  97.105  -         
TRNFP/TN-9.25 98.078  98.086  98.004  97.596  97.514  97.105  -         
VKCO/VK-9.25  98.340  98.086  97.964  97.596  97.474  97.105  -         
VTBR/VB-9.25  98.297  98.086  98.023  97.596  97.532  97.105  -         
WUSH/WU-9.25  98.388  98.086  97.966  97.596  97.476
